Point	X	Y	Z
1220	0.065 cm	0.357 cm	0.121 cm
1221	0.065 cm	0.358 cm	0.121 cm
1222	0.066 cm	0.355 cm	0.122 cm
1223	0.065 cm	0.355 cm	0.122 cm
1224	0.065 cm	0.356 cm	0.121 cm
1225	0.064 cm	0.358 cm	0.121 cm
1226	0.064 cm	0.356 cm	0.121 cm
1227	0.063 cm	0.357 cm	0.12 cm
1228	0.064 cm	0.354 cm	0.122 cm
1229	0.064 cm	0.353 cm	0.121 cm
1230	0.063 cm	0.355 cm	0.12 cm
1231	0.062 cm	0.356 cm	0.12 cm
1232	0.063 cm	0.354 cm	0.12 cm
1233	0.062 cm	0.356 cm	0.12 cm
1234	0.062 cm	0.353 cm	0.12 cm
1235	0.061 cm	0.355 cm	0.119 cm
1236	0.064 cm	0.352 cm	0.121 cm
1237	0.063 cm	0.352 cm	0.12 cm
1238	0.064 cm	0.351 cm	0.122 cm
1239	0.064 cm	0.35 cm	0.122 cm
1240	0.065 cm	0.352 cm	0.122 cm
1241	0.065 cm	0.353 cm	0.123 cm
1242	0.065 cm	0.351 cm	0.124 cm
1243	0.065 cm	0.35 cm	0.123 cm
1244	0.066 cm	0.352 cm	0.124 cm
1245	0.065 cm	0.353 cm	0.123 cm
1246	0.066 cm	0.352 cm	0.124 cm
1247	0.066 cm	0.351 cm	0.125 cm
1248	0.066 cm	0.35 cm	0.124 cm
1249	0.067 cm	0.351 cm	0.125 cm
1250	0.067 cm	0.351 cm	0.125 cm
1251	0.067 cm	0.351 cm	0.125 cm
1252	0.067 cm	0.352 cm	0.125 cm
1253	0.067 cm	0.353 cm	0.125 cm
1254	0.068 cm	0.352 cm	0.125 cm
1255	0.068 cm	0.351 cm	0.125 cm
1256	0.068 cm	0.353 cm	0.125 cm
1257	0.068 cm	0.354 cm	0.124 cm
1258	0.068 cm	0.354 cm	0.124 cm
1259	0.063 cm	0.351 cm	0.12 cm
1260	0.062 cm	0.352 cm	0.119 cm
1261	0.061 cm	0.351 cm	0.118 cm
1262	0.06 cm	0.353 cm	0.118 cm
1263	0.06 cm	0.354 cm	0.119 cm
1264	0.06 cm	0.351 cm	0.117 cm
1265	0.076 cm	0.35 cm	0.118 cm
1266	0.077 cm	0.349 cm	0.117 cm
1267	0.074 cm	0.347 cm	0.117 cm
1268	0.073 cm	0.344 cm	0.117 cm
1269	0.11 cm	0.306 cm	0.087 cm
1270	0.11 cm	0.303 cm	0.087 cm
1271	0.109 cm	0.304 cm	0.088 cm
1272	0.109 cm	0.305 cm	0.087 cm
1273	0.117 cm	0.304 cm	0.083 cm
1274	0.117 cm	0.305 cm	0.083 cm
1275	0.118 cm	0.306 cm	0.082 cm
1276	0.118 cm	0.305 cm	0.082 cm
1277	0.119 cm	0.306 cm	0.082 cm
1278	0.119 cm	0.304 cm	0.082 cm
1279	0.118 cm	0.303 cm	0.083 cm
1280	0.11 cm	0.299 cm	0.087 cm
1281	0.11 cm	0.3 cm	0.087 cm
1282	0.11 cm	0.303 cm	0.087 cm
1283	0.111 cm	0.302 cm	0.086 cm
1284	0.111 cm	0.306 cm	0.085 cm
1285	0.113 cm	0.306 cm	0.085 cm
1286	0.113 cm	0.304 cm	0.085 cm
1287	0.111 cm	0.306 cm	0.086 cm
1288	0.112 cm	0.3 cm	0.086 cm
1289	0.111 cm	0.298 cm	0.087 cm
1290	0.113 cm	0.301 cm	0.085 cm
1291	0.112 cm	0.293 cm	0.089 cm
1292	0.113 cm	0.294 cm	0.088 cm
1293	0.115 cm	0.294 cm	0.089 cm
1294	0.113 cm	0.292 cm	0.09 cm
1295	0.112 cm	0.291 cm	0.092 cm
1296	0.111 cm	0.292 cm	0.091 cm
1297	0.111 cm	0.294 cm	0.089 cm
1298	0.112 cm	0.295 cm	0.087 cm
1299	0.11 cm	0.293 cm	0.091 cm
1300	0.11 cm	0.295 cm	0.089 cm
1301	0.112 cm	0.296 cm	0.087 cm
1302	0.109 cm	0.294 cm	0.09 cm
1303	0.11 cm	0.296 cm	0.089 cm
1304	0.108 cm	0.295 cm	0.09 cm
1305	0.109 cm	0.297 cm	0.089 cm
1306	0.108 cm	0.296 cm	0.09 cm
1307	0.109 cm	0.298 cm	0.089 cm
1308	0.107 cm	0.297 cm	0.09 cm
1309	0.108 cm	0.3 cm	0.089 cm
1310	0.109 cm	0.301 cm	0.088 cm
1311	0.107 cm	0.298 cm	0.09 cm
1312	0.108 cm	0.301 cm	0.089 cm
1313	0.109 cm	0.302 cm	0.088 cm
1314	0.107 cm	0.3 cm	0.09 cm
1315	0.113 cm	0.298 cm	0.086 cm
1316	0.114 cm	0.297 cm	0.086 cm
1317	0.114 cm	0.299 cm	0.085 cm
1318	0.115 cm	0.298 cm	0.085 cm
1319	0.115 cm	0.301 cm	0.084 cm
1320	0.116 cm	0.299 cm	0.084 cm
1321	0.115 cm	0.302 cm	0.084 cm
1322	0.116 cm	0.303 cm	0.083 cm
1323	0.116 cm	0.302 cm	0.083 cm
1324	0.114 cm	0.304 cm	0.084 cm
1325	0.115 cm	0.305 cm	0.083 cm
1326	0.114 cm	0.307 cm	0.084 cm
1327	0.115 cm	0.307 cm	0.083 cm
1328	0.115 cm	0.296 cm	0.087 cm
1329	0.116 cm	0.297 cm	0.085 cm
1330	0.117 cm	0.296 cm	0.086 cm
1331	0.116 cm	0.295 cm	0.087 cm
1332	0.117 cm	0.299 cm	0.084 cm
1333	0.118 cm	0.298 cm	0.085 cm
1334	0.118 cm	0.3 cm	0.084 cm
1335	0.119 cm	0.299 cm	0.084 cm
1336	0.117 cm	0.301 cm	0.084 cm
1337	0.118 cm	0.302 cm	0.083 cm
1338	0.119 cm	0.302 cm	0.083 cm
1339	0.119 cm	0.304 cm	0.083 cm
1340	0.12 cm	0.304 cm	0.083 cm
1341	0.12 cm	0.306 cm	0.082 cm
1342	0.121 cm	0.306 cm	0.083 cm
1343	0.12 cm	0.309 cm	0.082 cm
1344	0.122 cm	0.309 cm	0.083 cm
1345	0.122 cm	0.306 cm	0.083 cm
1346	0.121 cm	0.303 cm	0.083 cm
1347	0.123 cm	0.309 cm	0.083 cm
1348	0.12 cm	0.301 cm	0.084 cm
1349	0.118 cm	0.308 cm	0.082 cm
1350	0.119 cm	0.308 cm	0.082 cm
1351	0.116 cm	0.308 cm	0.083 cm
1352	0.041 cm	0.34 cm	0.114 cm
1353	0.041 cm	0.342 cm	0.115 cm
1354	0.042 cm	0.343 cm	0.113 cm
1355	0.042 cm	0.341 cm	0.113 cm
1356	0.125 cm	0.302 cm	0.088 cm
1357	0.124 cm	0.301 cm	0.087 cm
1358	0.124 cm	0.303 cm	0.086 cm
1359	0.125 cm	0.303 cm	0.087 cm
1360	0.125 cm	0.305 cm	0.087 cm
1361	0.125 cm	0.304 cm	0.088 cm
1362	0.125 cm	0.303 cm	0.089 cm
1363	0.087 cm	0.365 cm	0.149 cm
1364	0.085 cm	0.365 cm	0.15 cm
1365	0.086 cm	0.363 cm	0.15 cm
1366	0.087 cm	0.363 cm	0.149 cm
1367	0.087 cm	0.36 cm	0.15 cm
1368	0.088 cm	0.362 cm	0.149 cm
1369	0.088 cm	0.364 cm	0.148 cm
1370	0.111 cm	0.317 cm	0.128 cm
1371	0.11 cm	0.318 cm	0.129 cm
1372	0.109 cm	0.317 cm	0.13 cm
1373	0.11 cm	0.316 cm	0.129 cm
1374	0.109 cm	0.315 cm	0.129 cm
1375	0.11 cm	0.315 cm	0.128 cm
1376	0.111 cm	0.315 cm	0.128 cm
1377	0.082 cm	0.386 cm	0.13 cm
1378	0.085 cm	0.385 cm	0.13 cm
1379	0.085 cm	0.384 cm	0.127 cm
1380	0.082 cm	0.385 cm	0.128 cm
1381	0.08 cm	0.385 cm	0.128 cm
1382	0.08 cm	0.387 cm	0.13 cm
1383	0.08 cm	0.387 cm	0.133 cm
1384	0.083 cm	0.387 cm	0.132 cm
1385	0.077 cm	0.387 cm	0.13 cm
1386	0.077 cm	0.388 cm	0.133 cm
1387	0.077 cm	0.386 cm	0.128 cm
1388	0.075 cm	0.386 cm	0.128 cm
1389	0.075 cm	0.387 cm	0.131 cm
1390	0.072 cm	0.387 cm	0.131 cm
1391	0.072 cm	0.386 cm	0.129 cm
1392	0.069 cm	0.386 cm	0.129 cm
1393	0.069 cm	0.387 cm	0.131 cm
1394	0.069 cm	0.387 cm	0.134 cm
1395	0.072 cm	0.388 cm	0.134 cm
1396	0.067 cm	0.386 cm	0.131 cm
1397	0.067 cm	0.386 cm	0.134 cm
1398	0.067 cm	0.385 cm	0.129 cm
1399	0.064 cm	0.384 cm	0.129 cm
1400	0.064 cm	0.385 cm	0.131 cm
1401	0.062 cm	0.384 cm	0.132 cm
1402	0.062 cm	0.383 cm	0.129 cm
1403	0.06 cm	0.382 cm	0.129 cm
1404	0.059 cm	0.383 cm	0.132 cm
1405	0.059 cm	0.383 cm	0.134 cm
1406	0.062 cm	0.384 cm	0.134 cm
1407	0.057 cm	0.381 cm	0.131 cm
1408	0.057 cm	0.382 cm	0.134 cm
1409	0.058 cm	0.38 cm	0.129 cm
1410	0.056 cm	0.379 cm	0.129 cm
1411	0.055 cm	0.379 cm	0.131 cm
1412	0.053 cm	0.377 cm	0.131 cm
1413	0.054 cm	0.377 cm	0.129 cm
1414	0.052 cm	0.375 cm	0.129 cm
1415	0.051 cm	0.375 cm	0.131 cm
1416	0.051 cm	0.375 cm	0.133 cm
1417	0.053 cm	0.378 cm	0.134 cm
1418	0.05 cm	0.373 cm	0.13 cm
1419	0.049 cm	0.373 cm	0.133 cm
1420	0.05 cm	0.373 cm	0.128 cm
1421	0.049 cm	0.371 cm	0.127 cm
1422	0.048 cm	0.371 cm	0.129 cm
1423	0.047 cm	0.369 cm	0.128 cm
1424	0.048 cm	0.368 cm	0.126 cm
1425	0.046 cm	0.366 cm	0.125 cm
1426	0.045 cm	0.366 cm	0.127 cm
1427	0.044 cm	0.367 cm	0.13 cm
1428	0.046 cm	0.369 cm	0.131 cm
1429	0.044 cm	0.364 cm	0.126 cm
1430	0.043 cm	0.364 cm	0.128 cm
1431	0.045 cm	0.364 cm	0.124 cm
1432	0.044 cm	0.362 cm	0.123 cm
1433	0.043 cm	0.362 cm	0.125 cm
1434	0.042 cm	0.36 cm	0.123 cm
1435	0.044 cm	0.36 cm	0.121 cm
1436	0.043 cm	0.357 cm	0.12 cm
1437	0.041 cm	0.357 cm	0.121 cm
1438	0.039 cm	0.357 cm	0.123 cm
1439	0.04 cm	0.36 cm	0.125 cm
1440	0.041 cm	0.355 cm	0.12 cm
1441	0.039 cm	0.354 cm	0.121 cm
1442	0.042 cm	0.354 cm	0.118 cm
1443	0.042 cm	0.351 cm	0.117 cm
1444	0.04 cm	0.351 cm	0.118 cm
1445	0.04 cm	0.348 cm	0.117 cm
1446	0.042 cm	0.348 cm	0.115 cm
1447	0.042 cm	0.345 cm	0.114 cm
1448	0.04 cm	0.345 cm	0.116 cm
1449	0.039 cm	0.344 cm	0.117 cm
1450	0.039 cm	0.347 cm	0.118 cm
1451	0.04 cm	0.342 cm	0.116 cm
1452	0.04 cm	0.34 cm	0.117 cm
1453	0.039 cm	0.343 cm	0.118 cm
1454	0.041 cm	0.339 cm	0.115 cm
1455	0.041 cm	0.338 cm	0.116 cm
1456	0.09 cm	0.383 cm	0.129 cm
1457	0.092 cm	0.381 cm	0.128 cm
1458	0.091 cm	0.38 cm	0.126 cm
1459	0.089 cm	0.382 cm	0.127 cm
1460	0.087 cm	0.383 cm	0.127 cm
1461	0.087 cm	0.384 cm	0.129 cm
1462	0.088 cm	0.385 cm	0.132 cm
1463	0.09 cm	0.383 cm	0.131 cm
1464	0.085 cm	0.386 cm	0.132 cm
1465	0.085 cm	0.386 cm	0.135 cm
1466	0.088 cm	0.385 cm	0.134 cm
1467	0.083 cm	0.386 cm	0.135 cm
1468	0.08 cm	0.387 cm	0.135 cm
1469	0.083 cm	0.385 cm	0.137 cm
1470	0.085 cm	0.385 cm	0.137 cm
1471	0.08 cm	0.386 cm	0.138 cm
1472	0.08 cm	0.385 cm	0.14 cm
1473	0.083 cm	0.384 cm	0.139 cm
1474	0.077 cm	0.386 cm	0.138 cm
1475	0.077 cm	0.385 cm	0.14 cm
1476	0.077 cm	0.387 cm	0.136 cm
1477	0.075 cm	0.387 cm	0.136 cm
1478	0.075 cm	0.386 cm	0.138 cm
1479	0.075 cm	0.388 cm	0.133 cm
1480	0.072 cm	0.387 cm	0.136 cm
1481	0.072 cm	0.386 cm	0.139 cm
1482	0.069 cm	0.386 cm	0.137 cm
1483	0.07 cm	0.385 cm	0.139 cm
1484	0.067 cm	0.386 cm	0.137 cm
1485	0.067 cm	0.385 cm	0.14 cm
1486	0.064 cm	0.385 cm	0.137 cm
1487	0.064 cm	0.384 cm	0.14 cm
1488	0.064 cm	0.385 cm	0.134 cm
1489	0.062 cm	0.384 cm	0.137 cm
1490	0.062 cm	0.383 cm	0.14 cm
1491	0.059 cm	0.383 cm	0.137 cm
1492	0.06 cm	0.381 cm	0.14 cm
1493	0.057 cm	0.381 cm	0.137 cm
1494	0.057 cm	0.38 cm	0.14 cm
1495	0.055 cm	0.379 cm	0.137 cm
1496	0.055 cm	0.378 cm	0.139 cm
1497	0.055 cm	0.38 cm	0.134 cm
1498	0.053 cm	0.377 cm	0.136 cm
1499	0.053 cm	0.376 cm	0.139 cm
1500	0.051 cm	0.375 cm	0.136 cm
1501	0.052 cm	0.374 cm	0.139 cm
1502	0.049 cm	0.373 cm	0.135 cm
1503	0.05 cm	0.372 cm	0.138 cm
1504	0.048 cm	0.371 cm	0.135 cm
1505	0.048 cm	0.37 cm	0.137 cm
1506	0.048 cm	0.371 cm	0.132 cm
1507	0.046 cm	0.369 cm	0.134 cm
1508	0.046 cm	0.368 cm	0.136 cm
1509	0.044 cm	0.366 cm	0.133 cm
1510	0.044 cm	0.366 cm	0.135 cm
1511	0.042 cm	0.364 cm	0.131 cm
1512	0.042 cm	0.364 cm	0.134 cm
1513	0.041 cm	0.362 cm	0.129 cm
1514	0.04 cm	0.362 cm	0.132 cm
1515	0.041 cm	0.362 cm	0.127 cm
1516	0.039 cm	0.36 cm	0.127 cm
1517	0.038 cm	0.359 cm	0.129 cm
1518	0.038 cm	0.357 cm	0.125 cm
1519	0.037 cm	0.356 cm	0.127 cm
1520	0.038 cm	0.354 cm	0.123 cm
1521	0.037 cm	0.353 cm	0.125 cm
1522	0.038 cm	0.35 cm	0.121 cm
1523	0.037 cm	0.349 cm	0.123 cm
1524	0.039 cm	0.351 cm	0.12 cm
1525	0.038 cm	0.346 cm	0.12 cm
1526	0.038 cm	0.345 cm	0.121 cm
1527	0.038 cm	0.342 cm	0.12 cm
1528	0.038 cm	0.341 cm	0.122 cm
1529	0.037 cm	0.344 cm	0.123 cm
1530	0.039 cm	0.339 cm	0.119 cm
1531	0.04 cm	0.338 cm	0.12 cm
1532	0.041 cm	0.336 cm	0.118 cm
1533	0.041 cm	0.335 cm	0.119 cm
1534	0.096 cm	0.378 cm	0.127 cm
1535	0.098 cm	0.376 cm	0.127 cm
1536	0.097 cm	0.375 cm	0.125 cm
1537	0.095 cm	0.377 cm	0.126 cm
1538	0.093 cm	0.379 cm	0.126 cm
1539	0.094 cm	0.38 cm	0.128 cm
1540	0.095 cm	0.38 cm	0.13 cm
1541	0.096 cm	0.378 cm	0.129 cm
1542	0.092 cm	0.382 cm	0.13 cm
1543	0.093 cm	0.381 cm	0.132 cm
1544	0.095 cm	0.38 cm	0.132 cm
1545	0.091 cm	0.383 cm	0.133 cm
1546	0.091 cm	0.382 cm	0.135 cm
1547	0.093 cm	0.381 cm	0.134 cm
1548	0.088 cm	0.384 cm	0.136 cm
1549	0.088 cm	0.382 cm	0.138 cm
1550	0.091 cm	0.381 cm	0.137 cm
1551	0.085 cm	0.383 cm	0.139 cm
1552	0.086 cm	0.382 cm	0.141 cm
1553	0.088 cm	0.381 cm	0.14 cm
1554	0.083 cm	0.382 cm	0.141 cm
1555	0.08 cm	0.383 cm	0.142 cm
1556	0.083 cm	0.381 cm	0.143 cm
1557	0.086 cm	0.38 cm	0.142 cm
1558	0.08 cm	0.381 cm	0.144 cm
1559	0.08 cm	0.379 cm	0.145 cm
1560	0.083 cm	0.379 cm	0.145 cm
1561	0.078 cm	0.381 cm	0.144 cm
1562	0.078 cm	0.379 cm	0.146 cm
1563	0.078 cm	0.383 cm	0.143 cm
1564	0.075 cm	0.383 cm	0.143 cm
1565	0.075 cm	0.381 cm	0.145 cm
1566	0.075 cm	0.384 cm	0.141 cm
1567	0.072 cm	0.384 cm	0.141 cm
1568	0.073 cm	0.382 cm	0.144 cm
1569	0.07 cm	0.384 cm	0.142 cm
1570	0.07 cm	0.382 cm	0.144 cm
1571	0.067 cm	0.383 cm	0.142 cm
1572	0.068 cm	0.381 cm	0.145 cm
1573	0.065 cm	0.382 cm	0.142 cm
1574	0.065 cm	0.38 cm	0.145 cm
1575	0.062 cm	0.381 cm	0.143 cm
1576	0.063 cm	0.379 cm	0.145 cm
1577	0.06 cm	0.379 cm	0.142 cm
1578	0.061 cm	0.377 cm	0.145 cm
1579	0.058 cm	0.378 cm	0.142 cm
1580	0.059 cm	0.375 cm	0.144 cm
1581	0.056 cm	0.376 cm	0.142 cm
1582	0.057 cm	0.373 cm	0.144 cm
1583	0.054 cm	0.374 cm	0.141 cm
1584	0.055 cm	0.372 cm	0.144 cm
1585	0.052 cm	0.372 cm	0.141 cm
1586	0.053 cm	0.37 cm	0.143 cm
1587	0.051 cm	0.37 cm	0.141 cm
1588	0.051 cm	0.368 cm	0.143 cm
1589	0.049 cm	0.368 cm	0.14 cm
1590	0.049 cm	0.366 cm	0.142 cm
1591	0.047 cm	0.366 cm	0.139 cm
1592	0.047 cm	0.364 cm	0.141 cm
1593	0.044 cm	0.364 cm	0.138 cm
1594	0.044 cm	0.363 cm	0.14 cm
1595	0.042 cm	0.363 cm	0.136 cm
1596	0.041 cm	0.361 cm	0.138 cm
1597	0.04 cm	0.361 cm	0.133 cm
1598	0.039 cm	0.359 cm	0.135 cm
1599	0.038 cm	0.358 cm	0.131 cm
1600	0.038 cm	0.356 cm	0.132 cm
1601	0.037 cm	0.355 cm	0.129 cm
1602	0.037 cm	0.354 cm	0.13 cm
1603	0.037 cm	0.352 cm	0.126 cm
1604	0.037 cm	0.35 cm	0.128 cm
1605	0.037 cm	0.348 cm	0.125 cm
1606	0.037 cm	0.346 cm	0.126 cm
1607	0.038 cm	0.343 cm	0.125 cm
1608	0.038 cm	0.341 cm	0.126 cm
1609	0.037 cm	0.345 cm	0.128 cm
1610	0.039 cm	0.339 cm	0.123 cm
1611	0.039 cm	0.338 cm	0.125 cm
1612	0.04 cm	0.336 cm	0.122 cm
1613	0.04 cm	0.335 cm	0.123 cm
1614	0.042 cm	0.334 cm	0.121 cm
1615	0.042 cm	0.332 cm	0.122 cm
1616	0.043 cm	0.331 cm	0.123 cm
1617	0.041 cm	0.334 cm	0.125 cm
1618	0.101 cm	0.373 cm	0.125 cm
1619	0.102 cm	0.371 cm	0.125 cm
1620	0.101 cm	0.371 cm	0.123 cm
1621	0.1 cm	0.372 cm	0.124 cm
1622	0.098 cm	0.374 cm	0.124 cm
1623	0.099 cm	0.374 cm	0.126 cm
1624	0.1 cm	0.374 cm	0.128 cm
1625	0.102 cm	0.373 cm	0.127 cm
1626	0.098 cm	0.376 cm	0.129 cm
1627	0.099 cm	0.376 cm	0.13 cm
1628	0.1 cm	0.374 cm	0.13 cm
1629	0.097 cm	0.378 cm	0.131 cm
1630	0.097 cm	0.377 cm	0.133 cm
1631	0.099 cm	0.375 cm	0.132 cm
1632	0.095 cm	0.379 cm	0.134 cm
1633	0.095 cm	0.378 cm	0.135 cm
1634	0.097 cm	0.376 cm	0.135 cm
1635	0.093 cm	0.379 cm	0.136 cm
1636	0.093 cm	0.378 cm	0.138 cm
1637	0.095 cm	0.376 cm	0.137 cm
1638	0.091 cm	0.379 cm	0.139 cm
1639	0.091 cm	0.378 cm	0.14 cm
1640	0.093 cm	0.376 cm	0.14 cm
1641	0.088 cm	0.379 cm	0.141 cm
1642	0.088 cm	0.377 cm	0.143 cm
1643	0.09 cm	0.376 cm	0.142 cm
1644	0.086 cm	0.378 cm	0.144 cm
1645	0.085 cm	0.376 cm	0.145 cm
1646	0.088 cm	0.375 cm	0.144 cm
1647	0.083 cm	0.377 cm	0.146 cm
1648	0.083 cm	0.375 cm	0.147 cm
1649	0.085 cm	0.374 cm	0.146 cm
1650	0.08 cm	0.377 cm	0.147 cm
1651	0.081 cm	0.375 cm	0.148 cm
1652	0.078 cm	0.376 cm	0.148 cm
1653	0.078 cm	0.374 cm	0.149 cm
1654	0.076 cm	0.376 cm	0.148 cm
1655	0.076 cm	0.373 cm	0.15 cm
1656	0.075 cm	0.378 cm	0.147 cm
1657	0.073 cm	0.378 cm	0.147 cm
1658	0.073 cm	0.375 cm	0.149 cm
1659	0.073 cm	0.38 cm	0.146 cm
1660	0.07 cm	0.379 cm	0.146 cm
1661	0.071 cm	0.377 cm	0.148 cm
1662	0.068 cm	0.378 cm	0.146 cm
1663	0.068 cm	0.376 cm	0.148 cm
1664	0.066 cm	0.377 cm	0.147 cm
1665	0.066 cm	0.374 cm	0.148 cm
1666	0.064 cm	0.376 cm	0.147 cm
1667	0.064 cm	0.373 cm	0.148 cm
1668	0.061 cm	0.374 cm	0.146 cm
1669	0.062 cm	0.371 cm	0.148 cm
1670	0.059 cm	0.372 cm	0.146 cm
1671	0.06 cm	0.37 cm	0.148 cm
1672	0.057 cm	0.371 cm	0.146 cm
1673	0.058 cm	0.368 cm	0.148 cm
1674	0.055 cm	0.369 cm	0.146 cm
1675	0.056 cm	0.366 cm	0.148 cm
1676	0.053 cm	0.367 cm	0.146 cm
1677	0.053 cm	0.364 cm	0.148 cm
1678	0.051 cm	0.365 cm	0.145 cm
1679	0.051 cm	0.362 cm	0.147 cm
1680	0.049 cm	0.363 cm	0.145 cm
1681	0.048 cm	0.361 cm	0.146 cm
1682	0.046 cm	0.362 cm	0.143 cm
1683	0.046 cm	0.359 cm	0.145 cm
1684	0.043 cm	0.36 cm	0.141 cm
1685	0.043 cm	0.357 cm	0.143 cm
1686	0.041 cm	0.358 cm	0.139 cm
1687	0.041 cm	0.355 cm	0.14 cm
1688	0.039 cm	0.356 cm	0.136 cm
1689	0.04 cm	0.354 cm	0.137 cm
1690	0.038 cm	0.354 cm	0.134 cm
1691	0.038 cm	0.352 cm	0.135 cm
1692	0.037 cm	0.352 cm	0.131 cm
1693	0.038 cm	0.35 cm	0.133 cm
1694	0.037 cm	0.348 cm	0.129 cm
1695	0.038 cm	0.347 cm	0.131 cm
1696	0.038 cm	0.343 cm	0.129 cm
1697	0.039 cm	0.341 cm	0.131 cm
1698	0.038 cm	0.344 cm	0.132 cm
1699	0.039 cm	0.34 cm	0.128 cm
1700	0.039 cm	0.338 cm	0.129 cm
1701	0.04 cm	0.337 cm	0.126 cm
1702	0.04 cm	0.335 cm	0.128 cm
1703	0.042 cm	0.333 cm	0.126 cm
1704	0.042 cm	0.332 cm	0.128 cm
1705	0.041 cm	0.334 cm	0.129 cm
1706	0.043 cm	0.33 cm	0.125 cm
1707	0.044 cm	0.329 cm	0.126 cm
1708	0.045 cm	0.328 cm	0.127 cm
1709	0.043 cm	0.33 cm	0.129 cm
1710	0.046 cm	0.327 cm	0.129 cm
1711	0.044 cm	0.329 cm	0.13 cm
1712	0.047 cm	0.326 cm	0.13 cm
1713	0.045 cm	0.328 cm	0.132 cm
1714	0.048 cm	0.325 cm	0.131 cm
1715	0.047 cm	0.327 cm	0.133 cm
1716	0.049 cm	0.324 cm	0.132 cm
1717	0.048 cm	0.325 cm	0.134 cm
1718	0.05 cm	0.323 cm	0.132 cm
1719	0.05 cm	0.324 cm	0.134 cm
1720	0.105 cm	0.369 cm	0.123 cm
1721	0.107 cm	0.367 cm	0.122 cm
1722	0.105 cm	0.367 cm	0.12 cm
1723	0.104 cm	0.368 cm	0.121 cm
1724	0.103 cm	0.37 cm	0.122 cm
1725	0.104 cm	0.37 cm	0.124 cm
1726	0.105 cm	0.37 cm	0.125 cm
1727	0.106 cm	0.368 cm	0.124 cm
1728	0.103 cm	0.371 cm	0.126 cm
1729	0.104 cm	0.371 cm	0.128 cm
1730	0.105 cm	0.369 cm	0.127 cm
1731	0.102 cm	0.372 cm	0.129 cm
1732	0.102 cm	0.371 cm	0.131 cm
1733	0.104 cm	0.37 cm	0.13 cm
1734	0.101 cm	0.373 cm	0.131 cm
1735	0.101 cm	0.372 cm	0.133 cm
1736	0.102 cm	0.37 cm	0.132 cm
1737	0.099 cm	0.374 cm	0.134 cm
1738	0.099 cm	0.372 cm	0.135 cm
1739	0.1 cm	0.371 cm	0.135 cm
1740	0.097 cm	0.374 cm	0.136 cm
1741	0.097 cm	0.373 cm	0.138 cm
1742	0.099 cm	0.371 cm	0.137 cm
1743	0.095 cm	0.375 cm	0.139 cm
1744	0.095 cm	0.373 cm	0.14 cm
1745	0.097 cm	0.371 cm	0.139 cm
1746	0.093 cm	0.375 cm	0.141 cm
1747	0.092 cm	0.373 cm	0.142 cm
1748	0.094 cm	0.371 cm	0.141 cm
1749	0.09 cm	0.374 cm	0.143 cm
1750	0.09 cm	0.372 cm	0.144 cm
1751	0.092 cm	0.371 cm	0.143 cm
1752	0.088 cm	0.373 cm	0.145 cm
1753	0.088 cm	0.372 cm	0.146 cm
1754	0.09 cm	0.37 cm	0.145 cm
1755	0.085 cm	0.372 cm	0.147 cm
1756	0.083 cm	0.373 cm	0.148 cm
1757	0.085 cm	0.37 cm	0.148 cm
1758	0.087 cm	0.37 cm	0.147 cm
1759	0.083 cm	0.37 cm	0.149 cm
1760	0.083 cm	0.368 cm	0.15 cm
1761	0.085 cm	0.369 cm	0.149 cm
1762	0.081 cm	0.37 cm	0.15 cm
1763	0.081 cm	0.368 cm	0.151 cm
1764	0.081 cm	0.372 cm	0.149 cm
1765	0.078 cm	0.372 cm	0.15 cm
1766	0.079 cm	0.369 cm	0.151 cm
1767	0.076 cm	0.371 cm	0.151 cm
1768	0.077 cm	0.368 cm	0.151 cm
1769	0.074 cm	0.37 cm	0.151 cm
1770	0.075 cm	0.367 cm	0.152 cm
1771	0.074 cm	0.372 cm	0.15 cm
1772	0.072 cm	0.371 cm	0.151 cm
1773	0.072 cm	0.369 cm	0.152 cm
1774	0.071 cm	0.374 cm	0.149 cm
1775	0.069 cm	0.373 cm	0.15 cm
1776	0.07 cm	0.37 cm	0.151 cm
1777	0.067 cm	0.372 cm	0.15 cm
1778	0.067 cm	0.369 cm	0.151 cm
1779	0.065 cm	0.37 cm	0.15 cm
1780	0.065 cm	0.367 cm	0.151 cm
1781	0.063 cm	0.369 cm	0.15 cm
1782	0.063 cm	0.366 cm	0.151 cm
1783	0.06 cm	0.367 cm	0.15 cm
1784	0.061 cm	0.364 cm	0.151 cm
1785	0.058 cm	0.365 cm	0.15 cm
1786	0.059 cm	0.362 cm	0.151 cm
1787	0.056 cm	0.363 cm	0.15 cm
1788	0.057 cm	0.36 cm	0.151 cm
1789	0.054 cm	0.361 cm	0.15 cm
1790	0.054 cm	0.358 cm	0.15 cm
1791	0.051 cm	0.36 cm	0.149 cm
1792	0.052 cm	0.357 cm	0.15 cm
1793	0.049 cm	0.358 cm	0.148 cm
1794	0.049 cm	0.355 cm	0.148 cm
1795	0.046 cm	0.356 cm	0.146 cm
1796	0.047 cm	0.353 cm	0.146 cm
1797	0.044 cm	0.354 cm	0.144 cm
1798	0.045 cm	0.351 cm	0.144 cm
1799	0.042 cm	0.353 cm	0.141 cm
1800	0.043 cm	0.35 cm	0.142 cm
1801	0.04 cm	0.351 cm	0.139 cm
